"source_document_key","canonical_citation","in_published_registry","n_rows_curated"
"Lei de Presupuestos 1891, Ministerio de Justicia, Culto e Instruccion Publica","República de Chile. 1891. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1891, Ministerio de Justicia, Culto e Instrucción Pública. Santiago: Imprenta Nacional.","yes","12"
"Lei de Presupuestos 1892, Ministerio del Interior","República de Chile. 1892. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1892, Ministerio del Interior. Santiago: Imprenta Nacional.","yes","6"
"Lei de Presupuestos 1893, Ministerio del Interior","República de Chile. 1893. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1893, Ministerio del Interior. Santiago: Imprenta Nacional.","yes","21"
"Lei de Presupuestos 1894, Ministerio de Justicia e Instruccion Publica, Seccion de Justicia","República de Chile. 1894. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1894, Ministerio de Justicia e Instrucción Pública, Sección de Justicia. Santiago: Imprenta Nacional.","yes","12"
"Lei de Presupuestos 1894, Ministerio del Interior","República de Chile. 1894. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1894, Ministerio del Interior. Santiago: Imprenta Nacional.","yes","15"
"Lei de Presupuestos 1895, Ministerio de Justicia, Culto e Instruccion Publica","República de Chile. 1895. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1895, Ministerio de Justicia, Culto e Instrucción Pública. Santiago: Imprenta Nacional.","yes","3"
"Lei de Presupuestos 1895, Ministerio del Interior","República de Chile. 1895. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1895, Ministerio del Interior. Santiago: Imprenta Nacional.","yes","12"
"Lei de Presupuestos 1896, Ministerio de Justicia, Culto e Instruccion Publica","República de Chile. 1896. Lei de Presupuestos de los Gastos Jenerales de la Administración Pública para el año 1896, Ministerio de Justicia, Culto e Instrucción Pública. Santiago: Imprenta Nacional.","yes","6"
"Mamalakis 1980 Historical Statistics Vol 2","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force. Westport, CT: Greenwood Press.","yes","339"
"Mamalakis 1980 Vol 2 Ch 16 Regional Distribution","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, regional distribution tables. Westport, CT: Greenwood Press.","yes","235"
"Mamalakis 1980 Vol 2 Migration","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, migration tables. Westport, CT: Greenwood Press.","yes","150"
"Mamalakis 1980 Vol 2 Regional Distribution","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, regional distribution tables. Westport, CT: Greenwood Press.","yes","557"
"Mamalakis Vol 2, Table 1.1 (DEC/INE/ODEPLAN)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 1.1 (DEC/INE/ODEPLAN source). Westport, CT: Greenwood Press.","yes","210"
"Mamalakis Vol 2, Table 1.2 (INE)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 1.2 (INE source). Westport, CT: Greenwood Press.","yes","26"
"Mamalakis Vol 2, Table 10.1 (Census 1952, corrected)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 10.1 (1952 census, corrected). Westport, CT: Greenwood Press.","yes","75"
"Mamalakis Vol 2, Table 12.1 (Sergio De Castro 1979)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 12.1 (compiled from De Castro 1979). Westport, CT: Greenwood Press.","yes","60"
"Mamalakis Vol 2, Table 17.1 (DEC/INE)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 17.1 (DEC/INE source). Westport, CT: Greenwood Press.","yes","58"
"Mamalakis Vol 2, Table 17.2 (DEC/INE)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 17.2 (INE source). Westport, CT: Greenwood Press.","yes","72"
"Mamalakis Vol 2, Table 2.1 (DEC/INE)","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, Table 2.1 (DEC/INE source). Westport, CT: Greenwood Press.","yes","76"
"Mamalakis, Markos. 1980. Historical Statistics Vol 2 Population","Mamalakis, Markos. 1980. Historical Statistics of Chile, Volume 2: Demography and Labor Force, population tables. Westport, CT: Greenwood Press.","yes","129"
"Memoria Interior","Ministerio del Interior. Multiple years. Memoria del Ministerio del Interior presentada al Congreso Nacional. Santiago.","yes","56"
"Memoria Interior 1870.pdf","Ministerio del Interior. 1870. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1870. Santiago: Imprenta Nacional.","yes","167"
"Memoria Interior 1875.pdf","Ministerio del Interior. 1875. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1875. Santiago: Imprenta Nacional.","yes","60"
"Memoria de Hacienda - Chile 1856","Ministerio de Hacienda. 1857. Memoria de Hacienda presentada al Congreso Nacional, año 1856. Santiago.","yes","242"
"Memoria de Hacienda - Chile 1857","Ministerio de Hacienda. 1858. Memoria de Hacienda presentada al Congreso Nacional, año 1857. Santiago.","yes","17"
"Memoria de Hacienda - Chile 1858","Ministerio de Hacienda. 1859. Memoria de Hacienda presentada al Congreso Nacional, año 1858. Santiago.","yes","294"
"Memoria de Hacienda - Chile 1860","Ministerio de Hacienda. 1861. Memoria de Hacienda presentada al Congreso Nacional, año 1860. Santiago.","yes","19"
"Memoria de Hacienda - Chile 1861","Ministerio de Hacienda. 1862. Memoria de Hacienda presentada al Congreso Nacional, año 1861. Santiago.","yes","50"
"Memoria de Hacienda - Chile 1876","Ministerio de Hacienda. 1877. Memoria de Hacienda presentada al Congreso Nacional, año 1876. Santiago.","yes","67"
"Memoria de Hacienda - Chile 1882","Ministerio de Hacienda. 1883. Memoria de Hacienda presentada al Congreso Nacional, año 1882. Santiago.","yes","78"
"Memoria de Hacienda - Chile 1883","Ministerio de Hacienda. 1884. Memoria de Hacienda presentada al Congreso Nacional, año 1883. Santiago.","yes","13"
"Memoria de Hacienda - Chile 1885","Ministerio de Hacienda. 1886. Memoria de Hacienda presentada al Congreso Nacional, año 1885. Santiago.","yes","38"
"Memoria de Hacienda - Chile 1888","Ministerio de Hacienda. 1889. Memoria de Hacienda presentada al Congreso Nacional, año 1888. Santiago.","yes","171"
"Memoria de Hacienda - Chile 1889","Ministerio de Hacienda. 1890. Memoria de Hacienda presentada al Congreso Nacional, año 1889. Santiago.","yes","96"
"Memoria de Hacienda - Chile 1890","Ministerio de Hacienda. 1891. Memoria de Hacienda presentada al Congreso Nacional, año 1890. Santiago.","yes","71"
"Memoria del Interior - Chile 1840.pdf","Ministerio del Interior. 1840. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1840. Santiago: Imprenta del Estado.","yes","52"
"Memoria del Interior - Chile 1862","Ministerio del Interior. 1862. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1862. Santiago: Imprenta Nacional.","yes","63"
"Memoria del Interior - Chile 1877","Ministerio del Interior. 1877. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1877. Santiago: Imprenta Nacional.","yes","121"
"Memoria del Interior - Chile 1878","Ministerio del Interior. 1878. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1878. Santiago: Imprenta Nacional.","yes","364"
"Memoria del Interior - Chile 1879","Ministerio del Interior. 1879. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1879. Santiago: Imprenta Nacional.","yes","181"
"Memoria del Interior - Chile 1883","Ministerio del Interior. 1883. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1883. Santiago: Imprenta Nacional.","yes","302"
"Memoria del Interior - Chile 1887","Ministerio del Interior. 1888. Memoria del Ministerio del Interior presentada al Congreso Nacional, año 1887. Santiago.","yes","1167"
"Memoria del Interior - Chile 1890","Ministerio del Interior. 1891. Memoria del Ministerio del Interior presentada al Congreso Nacional, año 1890, Tomo I. Santiago.","yes","1160"
"Memoria del Interior 1862","Ministerio del Interior. 1862. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1862. Santiago: Imprenta Nacional.","yes","335"
"Memoria del Interior 1892 Tomo II","Ministerio del Interior. 1893. Memoria del Ministerio del Interior presentada al Congreso Nacional, año 1892, Tomo II. Santiago.","yes","841"
"Memoria del Interior 1893 Tomo I","Ministerio del Interior. 1893. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1893, Tomo I. Santiago.","yes","975"
"Memoria del Interior 1893 Tomo III","Ministerio del Interior. 1893. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1893, Tomo III. Santiago.","yes","78"
"Memoria del Interior 1895","Ministerio del Interior. 1895. Memoria del Ministerio del Interior presentada al Congreso Nacional en 1895. Santiago.","yes","718"
"Memoria del Ministerio de Hacienda 1861","Ministerio de Hacienda. 1861. Memoria de Hacienda presentada al Congreso Nacional en 1861. Santiago.","yes","10"
"Memoria del Ministerio de Hacienda 1870","Ministerio de Hacienda. 1870. Memoria de Hacienda presentada al Congreso Nacional en 1870. Santiago.","yes","10"
"Memoria del Ministerio de Hacienda 1876","Ministerio de Hacienda. 1876. Memoria de Hacienda presentada al Congreso Nacional en 1876. Santiago.","yes","10"
"Memoria del Ministerio de Hacienda 1880","Ministerio de Hacienda. 1880. Memoria de Hacienda presentada al Congreso Nacional en 1880. Santiago.","yes","10"
"Memoria del Ministerio de Hacienda 1889","Ministerio de Hacienda. 1889. Memoria de Hacienda presentada al Congreso Nacional en 1889. Santiago.","yes","10"
"Molina 1898. Bosquejo de la Hacienda Pública de Chile 1830-1897","Molina, Evaristo. 1898. Bosquejo de la Hacienda Pública de Chile desde la Independencia hasta 1897. Santiago: Imprenta Nacional.","yes","268"
"ODEPA Estadisticas Agropecuarias 1965-1974 (Min. Agricultura, 1976)","Oficina de Planificación Agrícola (ODEPA). 1976. Estadísticas Agropecuarias 1965–1974. Santiago: Ministerio de Agricultura.","yes","3122"
"Población rural; en %","Oficina Central de Estadística. 1925. X Censo de la Población de la República de Chile, 15 de diciembre de 1920, urbano-rural department tables. Santiago.","yes","65"
"Población total; Censo 1920, organizado por tema; http://www.bibliotecanacionaldigital.gob.cl/visor/BND:82449","Población total; Censo 1920, organizado por tema; http://www.bibliotecanacionaldigital.gob.cl/visor/BND:82449","yes","23"
"Resumen Hacienda Publica 1899 p.60","Aldana, Abelardo. 1914. Resumen de la Hacienda Pública de Chile, 1833–1914, p. 60. Santiago: Imprenta Universitaria.","yes","237"
"Rol de Avalúos 1874 (departmental)","República de Chile. 1874. Rol de Avalúos de la Contribución Agrícola, 1874. Santiago.","yes","152"
"Rol de Contribuyentes 1875","Ministerio de Hacienda. 1876. Rol de Contribuyentes de la República de Chile, 1875. Santiago.","yes","180"
"SNA 1874","Sociedad Nacional de Agricultura. 1874. Boletín de la Sociedad Nacional de Agricultura, Vol. VI. Santiago.","yes","78"
"Sinopsis Estadistica - Chile 1900","Oficina Central de Estadística. 1900. Sinopsis Estadística de la República de Chile, año 1900. Santiago: Imprenta Nacional.","yes","267"
"Sinopsis Estadistica - Chile 1900.pdf","Oficina Central de Estadística. 1900. Sinopsis Estadística de la República de Chile, año 1900. Santiago: Imprenta Nacional.","yes","118"
"Sinopsis Estadistica - Chile 1924-1927","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927. Santiago.","yes","1638"
"Sinopsis Estadistica de Chile 1924-27","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927. Santiago.","yes","539"
"Sinopsis Estadística 1924-27, p.27","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927, p. 27. Santiago.","yes","127"
"Sinopsis Estadística 1924-27, p.29","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927, p. 29. Santiago.","yes","225"
"Sinopsis Estadística 1924-27, p.32","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927, p. 32. Santiago.","yes","96"
"Sinopsis Estadística 1924-27, p.39","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927, p. 39. Santiago.","yes","69"
"Sinopsis Estadística 1924-27, p.55","Dirección General de Estadística. 1927. Sinopsis Estadística de Chile, 1924–1927, p. 55. Santiago.","yes","24"
"Sinopsis Estadística de Chile 1875 (municipal finance series)","Oficina Central de Estadística. 1875. Sinopsis Estadística de la República de Chile, año 1875, municipal finance section. Santiago: Imprenta Nacional.","yes","309"
"Sinopsis Estadística de Chile 1895 (municipal finance series)","Oficina Central de Estadística. 1895. Sinopsis Estadística de la República de Chile, año 1895, municipal finance section. Santiago: Imprenta Nacional.","yes","237"
"Sinopsis Estadística de Chile 1907 (municipal finance series)","Oficina Central de Estadística. 1907. Sinopsis Estadística de la República de Chile, año 1907, municipal finance section. Santiago: Imprenta Nacional.","yes","98"
"Sinopsis estadistica i jeografica de Chile","Oficina Central de Estadística. ca. 1858. Sinopsis Estadística i Jeográfica de la República de Chile. Santiago: Imprenta Nacional.","yes","581"
"User-curated assembly (chile_pubemp_per_capita_all_years.csv)","Véjares, Maximiliano. 2026. Public-employment series, Chile, census years 1865 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the census occupational tables, 1865 to 1920.","yes","65"
"User-curated assembly (enfranchised 1863.xlsx)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","11"
"User-curated assembly (enfranchised 1872.xlsx)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","100"
"User-curated assembly (enfranchised 1881.xlsx)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","141"
"User-curated assembly (enfranchised 1917.xlsx)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","132"
"User-curated assembly (enfranchised 1920.xlsx)","Véjares, Maximiliano. 2026. Enfranchised-voter series, Chile, 1862 to 1920. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'. Compiled from the Anuario Estadístico calificados and inscritos tabulations and census occupational tables.","yes","80"
"User-curated assembly (regime-state 1935.xlsx)","Véjares, Maximiliano. 2026. Commune state-capacity dataset, Chile, 1935. Historical Atlas of Chile compiled series; construction documented in the atlas methodology, section 'Compiled series: construction notes'.","yes","2404"
"anuario_1935_crime_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, crime statistics by province. Santiago.","yes","57"
"anuario_1935_elections_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, elections by province. Santiago.","yes","133"
"anuario_1935_livestock_slaughter_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, livestock slaughter by province. Santiago.","yes","114"
"anuario_1935_mining_production_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, mining production by province. Santiago.","yes","17"
"anuario_1935_money_orders_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, postal money orders by province. Santiago.","yes","76"
"anuario_1935_postal_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, postal statistics by province. Santiago.","yes","38"
"anuario_1935_prison_inmates_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, prison population by province. Santiago.","yes","55"
"anuario_1935_roads_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, roads by province. Santiago.","yes","48"
"anuario_1935_vehicles_province.csv","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, vehicles by province. Santiago.","yes","66"
"anuario_estadistico_tomo_xv","Oficina Central de Estadística. ca. 1874. Anuario Estadístico de la República de Chile, Tomo XV. Santiago: Imprenta Nacional.","yes","54"
"summary_finances_customs.csv","Aldana, Abelardo. 1914. Resumen de la Hacienda Pública de Chile, 1833–1914, customs receipts and shipping cuadros. Santiago: Imprenta Universitaria.","yes","36"
