"source_document_key","canonical_citation","in_published_registry","n_rows_curated"
"Anuario Estadistico de la Republica de Chile 1940 (Yumpu 56511096)","Dirección General de Estadística. 1941. Anuario Estadístico de Chile, año 1940. Santiago.","yes","563"
"Anuario Estadistico de la Republica de Chile 1945 (Yumpu 56511087)","Dirección General de Estadística. 1946. Anuario Estadístico de Chile, año 1945. Santiago.","yes","576"
"Anuario Estadistico de la Republica de Chile 1948 (Yumpu 56511094)","Dirección General de Estadística. 1949. Anuario Estadístico de Chile, año 1948. Santiago.","yes","574"
"Anuario Estadistico de la Republica de Chile, Ano 1913, Vol. V Instruccion","Oficina Central de Estadística. 1914. Anuario Estadístico de la República de Chile, año 1913, Vol. V: Instrucción. Santiago: Imprenta Nacional.","yes","172"
"Anuario Estadistico de la Republica de Chile, Ano 1914, Vol. V Instruccion","Oficina Central de Estadística. 1915. Anuario Estadístico de la República de Chile, año 1914, Vol. V: Instrucción. Santiago: Imprenta Nacional.","yes","175"
"Anuario Estadistico de la Republica de Chile, Ano 1914, Vol. VII Mineria y Metalurgia","Oficina Central de Estadística. 1915. Anuario Estadístico de la República de Chile, año 1914, Vol. VII: Minería y Metalurgia. Santiago: Imprenta Nacional.","yes","20"
"Anuario Estadistico de la Republica de Chile, Ano 1926, Vol. I Demografia (Direccion General de Estadistica)","Dirección General de Estadística. 1927. Anuario Estadístico de Chile, año 1926, Vol. I: Demografía. Santiago.","yes","435"
"Anuario Estadistico de la Republica de Chile, Ano 1928 (Direccion General de Estadistica)","Dirección General de Estadística. 1929. Anuario Estadístico de Chile, año 1928. Santiago.","yes","195"
"Anuario Estadistico de la Republica de Chile, Tomo XXII (1879-1881)","Oficina Central de Estadística. ca. 1882. Anuario Estadístico de la República de Chile, Tomo XXII, años 1879–1881. Santiago: Imprenta Nacional.","yes","12"
"Anuario Estadistico de la Republica de Chile, entrega 1876-1877 (Yumpu 56511011)","Oficina Central de Estadística. ca. 1878. Anuario Estadístico de la República de Chile, entrega correspondiente a 1876–1877. Santiago: Imprenta Nacional.","yes","1605"
"Anuario Estadistico de la Republica de Chile, entrega 1877-1878 (Yumpu 56511013)","Oficina Central de Estadística. ca. 1879. Anuario Estadístico de la República de Chile, entrega correspondiente a 1877–1878. Santiago: Imprenta Nacional.","yes","1618"
"Anuario Estadistico de la Republica de Chile, entrega 1877-1878 (Yumpu 56511018)","Oficina Central de Estadística. ca. 1879. Anuario Estadístico de la República de Chile, entrega correspondiente a 1877–1878. Santiago: Imprenta Nacional.","yes","786"
"Anuario Estadistico de la Republica de Chile, entrega 1878-1879 (Yumpu 56511018)","Oficina Central de Estadística. ca. 1880. Anuario Estadístico de la República de Chile, entrega correspondiente a 1878–1879. Santiago: Imprenta Nacional.","yes","833"
"Anuario Estadistico de la Republica de Chile, entrega 1879-1880 (Yumpu 56511022)","Oficina Central de Estadística. ca. 1881. Anuario Estadístico de la República de Chile, entrega correspondiente a 1879–1880. Santiago: Imprenta Nacional.","yes","1672"
"Anuario Estadístico 1860","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I). Santiago: Imprenta Nacional.","yes","193"
"Anuario Estadístico 1860, anuario_1860_births_sex_province_1849_1858.csv","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), births by sex and province, 1849–1858. Santiago: Imprenta Nacional.","yes","13"
"Anuario Estadístico 1860, anuario_1860_child_mortality_province_1849_1858.csv","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), child mortality by province, 1849–1858. Santiago: Imprenta Nacional.","yes","13"
"Anuario Estadístico 1860, anuario_1860_deaths_sex_province_1849_1858.csv","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), deaths by sex and province, 1849–1858. Santiago: Imprenta Nacional.","yes","13"
"Anuario Estadístico 1860, anuario_1860_population_growth_province_1849_1858.csv","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), population growth by province, 1849–1858. Santiago: Imprenta Nacional.","yes","26"
"Anuario Estadístico 1860, anuario_1860_population_province_census1854.csv","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), population by province, census of 1854. Santiago: Imprenta Nacional.","yes","28"
"Anuario Estadístico 1860, anuario_1860_population_sex_province_census1854.csv","Oficina Central de Estadística. 1861. Anuario Estadístico de la República de Chile, año 1860 (Tomo I), population by sex and province, census of 1854. Santiago: Imprenta Nacional.","yes","14"
"Anuario Estadístico 1935 - Escuelas","Dirección General de Estadística. 1936. Anuario Estadístico de Chile, año 1935, education section. Santiago.","yes","45"
